student_track_id,track_Name,date_enrolled,track_completed,days_for_completion,completion_bucket
2,"Business Analyst",2022-05-20,0,NULL,NULL
1,"Data Scientist",2022-05-26,0,NULL,NULL
1,"Data Analyst",2022-02-24,0,NULL,NULL
1,"Data Analyst",2022-08-15,0,NULL,NULL
1,"Data Scientist",2022-06-05,0,NULL,NULL
1,"Business Analyst",2022-08-11,0,NULL,NULL
1,"Data Scientist",2022-06-23,0,NULL,NULL
1,"Data Analyst",2022-03-31,0,NULL,NULL
1,"Data Analyst",2022-02-14,0,NULL,NULL
1,"Data Analyst",2022-01-17,1,482,366+
1,"Data Analyst",2022-09-24,0,NULL,NULL
1,"Data Analyst",2022-03-12,0,NULL,NULL
1,"Data Scientist",2022-09-08,0,NULL,NULL
1,"Data Analyst",2022-03-25,0,NULL,NULL
1,"Data Analyst",2022-08-04,0,NULL,NULL
1,"Data Analyst",2022-04-28,0,NULL,NULL
1,"Data Analyst",2022-06-29,0,NULL,NULL
1,"Data Analyst",2022-05-16,0,NULL,NULL
1,"Data Scientist",2022-04-03,0,NULL,NULL
2,"Data Analyst",2022-04-03,0,NULL,NULL
3,"Business Analyst",2022-04-03,0,NULL,NULL
1,"Data Scientist",2022-03-20,0,NULL,NULL
1,"Data Scientist",2022-03-29,0,NULL,NULL
1,"Data Scientist",2022-08-04,0,NULL,NULL
2,"Data Analyst",2022-08-04,0,NULL,NULL
1,"Data Analyst",2022-01-10,0,NULL,NULL
1,"Data Analyst",2022-01-16,0,NULL,NULL
1,"Data Analyst",2022-04-24,0,NULL,NULL
1,"Data Scientist",2022-01-06,0,NULL,NULL
1,"Data Scientist",2022-04-20,0,NULL,NULL
2,"Data Analyst",2022-04-20,0,NULL,NULL
3,"Business Analyst",2022-04-20,0,NULL,NULL
1,"Data Analyst",2022-02-15,0,NULL,NULL
1,"Data Analyst",2022-03-21,0,NULL,NULL
1,"Data Scientist",2022-06-05,0,NULL,NULL
2,"Data Analyst",2022-06-05,0,NULL,NULL
3,"Business Analyst",2022-08-31,0,NULL,NULL
1,"Data Analyst",2022-08-26,0,NULL,NULL
1,"Data Scientist",2022-01-20,0,NULL,NULL
1,"Data Analyst",2022-07-29,0,NULL,NULL
1,"Business Analyst",2022-03-07,0,NULL,NULL
1,"Data Scientist",2022-08-03,0,NULL,NULL
1,"Data Analyst",2022-01-19,1,168,"91 to 365 days"
1,"Data Analyst",2022-03-31,0,NULL,NULL
1,"Business Analyst",2022-03-31,0,NULL,NULL
1,"Data Analyst",2022-03-27,0,NULL,NULL
1,"Business Analyst",2022-10-06,0,NULL,NULL
1,"Data Scientist",2022-06-15,0,NULL,NULL
1,"Data Analyst",2022-05-24,0,NULL,NULL
1,"Data Analyst",2022-01-26,0,NULL,NULL
1,"Data Scientist",2022-05-09,0,NULL,NULL
1,"Data Analyst",2022-01-07,0,NULL,NULL
1,"Data Analyst",2022-01-18,0,NULL,NULL
2,"Business Analyst",2022-01-18,0,NULL,NULL
1,"Data Analyst",2022-08-09,0,NULL,NULL
1,"Data Scientist",2022-04-08,0,NULL,NULL
1,"Data Analyst",2022-03-06,0,NULL,NULL
1,"Data Scientist",2022-06-15,0,NULL,NULL
